#Text;Output file (without extension);Voice name;Rate;Pitch;Volume
#This is a test speech;C:\Users\slaub\Desktop\Speeches\02;Microsoft Zira Desktop
#This is a test speech;C:\Users\slaub\Desktop\Speeches\Mary02;cmu-slt-hsmm
#This is a test speech;_Speeches\02;Microsoft Zira Desktop => in folder Assets
Bonjour, je suis ravie de vous accueillir;Audio\RTgeneration\1a;Microsoft Hortense Desktop
Je vous en prie, asseyez-vous.;Audio\RTgeneration\1b;Microsoft Hortense Desktop
Par quoi souhaitez-vous commencer notre entretien ? ;Audio\RTgeneration\2a;Microsoft Hortense Desktop
Très bien, en effet, vos compétences techniques m'intéressent beaucoup. ;Audio\RTgeneration\2b;Microsoft Hortense Desktop
Je vous propose d'évoquer ensemble différentes situations dans lesquelles vous jouez le rôle d'un chef de projet. ;Audio\RTgeneration\2c;Microsoft Hortense Desktop
Pour chacune d'elles, vous pourrez m'indiquer quelle est, de votre point de vue, la meilleure façon de procéder pour gérer un évènement ou atteindre un objectif. ;Audio\RTgeneration\2d;Microsoft Hortense Desktop
Et si nous commencions finalement par vos compétences techniques ? ;Audio\RTgeneration\2e;Microsoft Hortense Desktop
Vous êtes donc un chef de projet a qui l'on vient de confier un projet stratégique pour l'entreprise.;Audio\RTgeneration\3a;Microsoft Hortense Desktop
Tout le monde vous fait-licite et vous souhaite bon courage.;Audio\RTgeneration\3b;Microsoft Hortense Desktop
Pourriez-vous me dire quel est votre premier réflexe.;Audio\RTgeneration\3c;Microsoft Hortense Desktop
C'est une bonne initiative. L'équipe d'avant-vente aura certainement beaucoup d'informations utiles à vous transmettre.;Audio\RTgeneration\4a;Microsoft Hortense Desktop
Votre responsable n'est pas disponible pour l'instant mais il vous a communiqué les coordonnez du responsable de l'avant-vente avant de s'absenter.;Audio\RTgeneration\4b;Microsoft Hortense Desktop
Cela ne me semble pas être la meilleure façon de procéder. La réunion tarde à être organisée et votre responsable vous invite à la programmer vous-même.;Audio\RTgeneration\4c;Microsoft Hortense Desktop
La réunion de transfert d'information avec l'équipe d'avant-vente doit commencer mais certaines personnes se font attendre. Que faites-vous? ;Audio\RTgeneration\5a;Microsoft Hortense Desktop
Finalement les retardataires arrivent alors que vous êtes en train de quitter la salle de réunion.;Audio\RTgeneration\6a;Microsoft Hortense Desktop
Au bout de 20 minutes, les retardataires finissent par vous rejoindre et la réunion commence.;Audio\RTgeneration\6b;Microsoft Hortense Desktop
Après 20 minutes tout le monde est là mais vous devez reprendre du début afin que tout le monde ait le même niveau d'information.;Audio\RTgeneration\6c;Microsoft Hortense Desktop
En tant que responsable du projet, vous animez la réunion. Vous n'êtes cependant pas familier avec ce type de réunion. Comment décidez-vous de l'aborder? ;Audio\RTgeneration\7a;Microsoft Hortense Desktop
La réunion se déroule bien mais le responsable de l'avant-vente n'a que peu de temps à vous consacrer. Il doit en effet travailler sur un dossier à la fois très critique et très urgent.;Audio\RTgeneration\8a;Microsoft Hortense Desktop
Il vous fait savoir qu'il n'a plus que 5 minutes à vous consacrer malgré son engagement initial. Comment réagissez-vous.;Audio\RTgeneration\8b;Microsoft Hortense Desktop
Au moment de rédiger votre compte rendu, vous vous rendez-compte que certaines informations vous font défaut. ;Audio\RTgeneration\9a;Microsoft Hortense Desktop
Il accepte à contre cœur et répond à vos questions de façon laconique avant de s'éclipser.;Audio\RTgeneration\9b;Microsoft Hortense Desktop
Votre attitude est jugée déplacée et les personnes présentes se braquent. On vous explique de finalement tout a déjà été dit ce qui permet d'abréger la réunion.;Audio\RTgeneration\9c;Microsoft Hortense Desktop
Le moment est venu de faire un point sur les documents produits au cours de la phase d'avant-vente.;Audio\RTgeneration\10a;Microsoft Hortense Desktop
Lorsque vous demandez une copie du contrat, le responsable commercial vous explique qu'il n'a pas eu le temps de l'imprimer mais que vous pourrez le trouver dans l'intranet. Quelle est votre réaction?;Audio\RTgeneration\11a;Microsoft Hortense Desktop
La réunion de transfert est le moment pour vous de prendre connaissance de l'évaluation des charges faite par l'équipe technique en charge de l'avant-vente.;Audio\RTgeneration\12a;Microsoft Hortense Desktop
Lorsque vous souhaitez en examiner les grandes lignes, on vous indique qu'il ne s'agit pas de la dernière version car deux itérations de dernière minute ont été faites pour emporter l'affaire. Comment réagissez-vous? ;Audio\RTgeneration\13a;Microsoft Hortense Desktop
De retour dans votre bureau, vous prenez le temps de consulter vos notes et de revoir rapidement les documents que l'on a mis à votre disposition.;Audio\RTgeneration\14a;Microsoft Hortense Desktop
Les documents sont à la fois nombreux et complexes. Vous savez que si vous souhaitez en faire le tour il vous faudra plusieurs jours. ;Audio\RTgeneration\14b;Microsoft Hortense Desktop
Sachant que vous devez rencontrer le client dans deux jours puis votre équipe dans la foulée, que décidez-vous? ;Audio\RTgeneration\15a;Microsoft Hortense Desktop;
Votre réunion de lancement interne arrive très vite et vous n'avez que très peu de temps pour la préparer. ;Audio\RTgeneration\16a;Microsoft Hortense Desktop
On vous a demandé de challenger l'estimation des charges faite par l'équipe d'avant-vente et de mettre à jour la liste des risques. ;Audio\RTgeneration\16b;Microsoft Hortense Desktop
Comme souvent le sujet est complexe et vous n'avez pas toutes les compétences techniques requises pour analyser l'estimation des charges en détail. Que faites-vous? ;Audio\RTgeneration\17a;Microsoft Hortense Desktop
A l'occasion d'une présentation technique vous rencontrez l'un de vos anciens responsables. Il vous félicite pour votre nouveau projet mais souligne que le client est parfois difficile à gérer. ;Audio\RTgeneration\18a;Microsoft Hortense Desktop
Il vous invite donc à examiner en détail les risques projet afin de mettre en œuvre les opérations de mitigation nécessaire le plus tôt possible.;Audio\RTgeneration\18b;Microsoft Hortense Desktop
Vous revenez à votre bureau et décidez d'examiner les risques projet d'un œil nouveau. Quelle est votre démarche? ;Audio\RTgeneration\19a;Microsoft Hortense Desktop
Quelques jours passent et vous vous apercevez que vous n'avez pas encore rédigé le compte rendu de votre réunion de transfert. Que faites-vous pour y remédier? ;Audio\RTgeneration\20a;Microsoft Hortense Desktop
La réunion de lancement interne arrive à grands pas et vous devez vous préparer à rencontrer votre nouvelle équipe.;Audio\RTgeneration\21a;Microsoft Hortense Desktop
Vous avez bien entendu déjà pris connaissance de l'organisation proposée dans la réponse faite par l'équipe d'avant-vente et vous décidez de vous attarder à présent sur les activités à mener à bien, et les charges associées.;Audio\RTgeneration\21b;Microsoft Hortense Desktop
Après un rapide survol vous notez un décalage important entre le contenu des activistes et les charges prévues pour les réaliser. Quelle conclusion en tirez-vous.;Audio\RTgeneration\22a;Microsoft Hortense Desktop
L'organisation et les activités vous sont à présent bien connues et il est temps de consulter les profils de votre futur équipe.;Audio\RTgeneration\23a;Microsoft Hortense Desktop
Vous avez le choix entre les rencontrer ou consulter votre référentiel de CV. Que faites-vous ? ;Audio\RTgeneration\24a;Microsoft Hortense Desktop
